Date,precipitation,precipitation_ewma_30d,target_runoff
2014-01-01,0.0008564820177525,0.0008564820177525,0.0
2014-01-02,0.0008544209890715,0.0008563490481601,0.0
2014-01-03,0.0017191346159961,0.0009120126331818,7.450580596923828e-06
2014-01-04,0.0008642672355563,0.0009089322849479,0.0
2014-01-05,0.0,0.0008502914923706,0.0
2014-01-06,0.0004276632239452,0.0008230251524722,0.0
2014-01-07,0.0029167631510063,0.0009581050233454,1.4901161193847656e-05
2014-01-08,0.0011801718642345,0.0009724319163059,0.0
2014-01-09,0.1432478426863781,0.0101514906756654,0.0006854534149169
2014-01-10,0.0498092070984057,0.0127100530255196,0.00019371509552
2014-01-11,2.394472176092677e-06,0.0118902040865942,0.0
2014-01-12,0.0012895013696834,0.0112062877822774,0.0
2014-01-13,0.0456750391890636,0.0134300781956185,0.0002086162567138
2014-01-14,0.0605881213004977,0.0164725325894816,0.0002980232238769
2014-01-15,0.3487771394361516,0.0379115394828152,0.0015199184417724
2014-01-16,0.0378578901631954,0.0379080782363881,0.0001490116119384
2014-01-17,0.0114321707656017,0.0361999551737567,4.470348358154297e-05
2014-01-18,0.0139176845550537,0.0347623893273888,7.450580596923828e-05
2014-01-19,0.0004351138045421,0.0325477263904309,0.0
2014-01-20,0.0054886345992599,0.030801978532936,2.9802322387695312e-05
2014-01-21,0.0018325532096241,0.0289329833507869,0.0
2014-01-22,0.2238929270674816,0.0415110442357349,0.0009387731552124
2014-01-23,0.3635429021073832,0.06228729313068,0.0015199184417724
2014-01-24,0.0025713598006404,0.0584346522706774,1.4901161193847656e-05
2014-01-25,0.0814945967135827,0.0599223906218326,0.0003278255462646
2014-01-26,0.0070333481403395,0.056510194332704,2.9802322387695312e-05
2014-01-27,0.190243124961853,0.0651381253410362,0.00077486038208
2014-01-28,0.3377559060027124,0.0827263692546927,0.0013783574104309
2014-01-29,0.0034657832657103,0.0776127830618552,2.2351741790771484e-05
2014-01-30,0.0008553265615773,0.0726606890940953,0.0
2014-01-31,0.0025667102931947,0.068138496913392,1.4901161193847656e-05
2014-02-01,0.0021486072228071,0.0638810846752898,0.0
2014-02-02,0.0008553023462809,0.0598149051701924,0.0
2014-02-03,0.0004351138045421,0.0559839508885376,0.0
2014-02-04,0.0,0.0523720830892771,0.0
2014-02-05,0.0022530554701916,0.0491385974364328,7.450580596923828e-06
2014-02-06,0.0029355287551879,0.0461577542957074,7.450580596923828e-06
2014-02-07,0.0015034327134344,0.0432768303226575,0.0
2014-02-08,0.0008600427463534,0.0405402633822508,0.0
2014-02-09,0.0008706012977199,0.0379809303445391,0.0
2014-02-10,0.0,0.0355305477416656,0.0
2014-02-11,0.0365805266824281,0.035598288318489,0.0001341104507446
2014-02-12,0.0008523463179699,0.0333566146410362,0.0
2014-02-13,0.0012934207802572,0.0312880214887278,0.0
2014-02-14,0.0345170495279489,0.031496345878355,0.0001490116119384
2014-02-15,0.8691728114058606,0.0855399888156134,0.0032037496566772
2014-02-16,4.129293560879432,0.3464273160455372,0.0184923410415649
2014-02-17,0.6743687031303125,0.3675848248897163,0.0030398368835449
2014-02-18,0.0023424624373546,0.344020801505693,1.4901161193847656e-05
2014-02-19,0.0004351138045421,0.3218539829443285,0.0
2014-02-20,0.0008642672355563,0.3011449690276335,0.0
2014-02-21,0.0012917034268866,0.2817995970533918,0.0
2014-02-22,0.0004351138613856,0.2636470497506817,0.0
2014-02-23,0.0017149332052213,0.2467482035219423,7.450580596923828e-06
2014-02-24,0.0004261732051702,0.2308564596305377,0.0
2014-02-25,0.0008583068797918,0.2160178691304896,0.0
2014-02-26,0.0,0.2020812324123935,0.0
2014-02-27,0.001281499748984,0.189126410950238,0.0
2014-02-28,0.034126639434362,0.1791264256911493,0.0001192092895507
2014-03-01,0.0,0.1675698820981719,0.0
2014-03-02,0.1012330247931458,0.1632900848526864,0.0003725290298461
2014-03-03,0.0802516937206121,0.1579327692957784,0.0003129243850708
2014-03-04,0.0365078449249267,0.1500989032073363,0.0001341104507446
2014-03-05,0.0160276889751287,0.1414491474504197,5.960464477539063e-05
2014-03-06,0.0994908932092641,0.138742163305829,0.0003576278686523
2014-03-07,0.0027120113372802,0.1299660244691485,1.4901161193847656e-05
2014-03-08,0.0008523463179699,0.1216361097497176,0.0
2014-03-09,0.003966111421505,0.1140444969543491,1.4901161193847656e-05
2014-03-10,0.0256776808669201,0.1083434120454827,8.940696716308594e-05
2014-03-11,0.0066906213760375,0.1017851674861636,3.725290298461914e-05
2014-03-12,0.0002384185791015,0.0952337643308693,0.0
2014-03-13,0.0042408704530316,0.0893632550484282,1.4901161193847656e-05
2014-03-14,0.1928359268958956,0.0960389112966519,0.0006854534149169
2014-03-15,0.0176131725311279,0.0909791862150052,4.470348358154297e-05
2014-03-16,0.0008523463748133,0.0851645513866057,0.0
2014-03-17,0.0021489248069883,0.0798087045105014,7.450580596923828e-06
2014-03-18,0.0021522840256693,0.0747986128663186,0.0
2014-03-19,0.0,0.0699728959072013,0.0
2014-03-20,0.0004351138045421,0.0654865873844491,0.0
2014-03-21,0.0238195390238615,0.0627983907160241,8.940696716308594e-05
2014-03-22,0.1456405026907248,0.0681430431014886,0.0005215406417846
2014-03-23,0.0054998750478318,0.0641015483883495,0.0
2014-03-24,0.0017317217384515,0.0600776886044851,0.0
2014-03-25,0.0024234736493156,0.0563580618331838,0.0
2014-03-26,0.0,0.0527220578439462,0.0
2014-03-27,0.0025779008296922,0.0494869509398008,0.0
