name,lat,lon,pred_day_1,pred_day_2,pred_day_3,pred_day_4,pred_day_5,pred_day_6,pred_day_7
Grid,8.0,81.18181818181819,0.9319813251495361,0.33665090799331665,0.26059166,0.20866096,0.1962556,0.19060239,0.19328848
Grid,10.545454545454545,78.54545454545455,1.1727707386016846,0.5415212512016296,0.35588717,0.20516396,0.1934591,0.17208382,0.19328848
Grid,13.09090909090909,75.9090909090909,1.2065105438232422,0.8015753030776978,0.7732476,0.4492935,0.24060398,0.20326316,0.19328848
Grid,13.09090909090909,78.54545454545455,1.1042287349700928,0.1395156979560852,0.18800348,0.19317009,0.19081444,0.1526095,0.19328848
Grid,15.636363636363637,75.9090909090909,12.31534481048584,0.0,1.4427142,0.69061786,0.56887853,0.4185999,0.19328848
Grid,15.636363636363637,78.54545454545455,3.8890199661254883,0.4658578336238861,1.0313182,0.8340698,0.22904299,0.19993581,0.19328848
Grid,18.18181818181818,73.27272727272727,1.2706643342971802,0.7537806034088135,0.7964366,0.2097372,0.15456177,0.18205427,0.19328848
Grid,18.18181818181818,75.9090909090909,12.279873847961426,0.0,1.4715838,0.8631864,0.8605775,0.7799112,0.19328848
Grid,18.18181818181818,78.54545454545455,12.275060653686523,0.0,1.4642372,0.87022775,0.87293077,0.79455733,0.19328848
Grid,18.18181818181818,81.18181818181819,12.276432037353516,0.0,1.4632075,0.8710977,0.87427163,0.7963681,0.19328848
Grid,18.18181818181818,83.81818181818181,3.2346553802490234,0.0,0.4075028,0.28495118,0.22715494,0.19507058,0.19328848
Grid,18.18181818181818,97.0,1.2127728462219238,0.817093551158905,0.24015702,0.1835788,0.17733745,0.17649606,0.19328848
Grid,20.727272727272727,70.63636363636364,12.537127494812012,0.0,0.78917193,0.2935493,0.22746898,0.19707799,0.19328848
Grid,20.727272727272727,73.27272727272727,12.99018669128418,0.0,0.40399432,0.21789081,0.20019338,0.19293852,0.19328848
Grid,20.727272727272727,75.9090909090909,13.288717269897461,0.0,0.20649701,0.14838219,0.15113614,0.18000029,0.19328848
Grid,20.727272727272727,78.54545454545455,12.255807876586914,0.0,1.4747276,0.8680928,0.8713636,0.7898554,0.19328848
Grid,20.727272727272727,81.18181818181819,12.2765531539917,0.0,1.4634829,0.87055117,0.873335,0.79523957,0.19328848
Grid,20.727272727272727,83.81818181818181,12.313809394836426,0.0,1.4357564,0.6790494,0.5493505,0.39195442,0.19328848
Grid,20.727272727272727,86.45454545454545,12.469137191772461,0.0,1.2557671,0.52985644,0.3045922,0.21580853,0.19328848
Grid,20.727272727272727,94.36363636363636,3.609903335571289,0.2573254108428955,0.84945035,0.41127497,0.21048956,0.18780589,0.19328848
Grid,20.727272727272727,97.0,0.0,1.2439875602722168,0.8371438,0.75716686,0.21400198,0.19359522,0.19328848
Grid,23.272727272727273,70.63636363636364,12.23029613494873,0.0,0.838068,0.33511645,0.24829842,0.20576194,0.19328848
Grid,23.272727272727273,73.27272727272727,6.326792240142822,0.0,0.23942232,0.2223219,0.21175906,0.19838452,0.19328848
Grid,23.272727272727273,75.9090909090909,0.9133471250534058,0.6568918228149414,0.2096054,0.19415945,0.1684922,0.18114388,0.19328848
Grid,23.272727272727273,78.54545454545455,13.011301040649414,0.0,1.0336955,0.3446921,0.2568829,0.21152496,0.19328848
Grid,23.272727272727273,81.18181818181819,13.032068252563477,0.0,1.2811207,0.5332123,0.30806518,0.21761641,0.19328848
Grid,23.272727272727273,83.81818181818181,12.288412094116211,0.0,1.476568,0.8626772,0.85956144,0.77852243,0.19328848
Grid,23.272727272727273,86.45454545454545,10.09289836883545,0.0,1.0786246,0.6073086,0.34137434,0.21811754,0.19328848
Grid,23.272727272727273,89.0909090909091,6.397853374481201,0.0,1.1242902,0.7594806,0.24203151,0.2008532,0.19328848
Grid,23.272727272727273,91.72727272727272,2.108219861984253,0.22692516446113586,0.91393614,0.5167171,0.28946474,0.20407423,0.19328848
Grid,23.272727272727273,94.36363636363636,0.0,1.0176889896392822,0.9060761,0.3591305,0.2357854,0.20230427,0.19328848
