Date,precipitation,runoff,u_wind,soil_moisture
2014-01-01,0.0008564820177525689,0.0,-1.9999027252197266,0.21740214029947916
2014-01-02,0.0008544209890715138,0.0,-1.3683711687723796,0.21478970845540366
2014-01-03,0.001719134615996154,7.450580596923828e-06,-1.3702393770217896,0.21240743001302084
2014-01-04,0.0008642672355563263,0.0,-1.2218845287958782,0.2105693817138672
2014-01-05,0.0,0.0,-0.8975226084391276,0.20885403951009116
2014-01-06,0.0004276632239452738,0.0,-1.3268267313639324,0.20700581868489584
2014-01-07,0.0029167631510063075,1.4901161193847656e-05,-1.5143006642659504,0.20532353719075522
2014-01-08,0.0011801718642345804,0.0,-1.6934642791748047,0.20384089152018228
2014-01-09,0.14324784268637814,0.0006854534149169922,-1.0728143056233723,0.20329157511393228
2014-01-10,0.04980920709840575,0.00019371509552001953,-1.2916895548502605,0.20257123311360678
2014-01-11,2.394472176092677e-06,0.0,-1.0685437122980754,0.20147387186686197
2014-01-12,0.0012895013696834212,0.0,-1.3478222290674846,0.20015525817871094
2014-01-13,0.04567503918906368,0.0002086162567138672,-1.6564935048421223,0.19934590657552084
2014-01-14,0.06058812130049773,0.0002980232238769531,-1.4134610493977864,0.19893773396809897
2014-01-15,0.34877713943615163,0.001519918441772461,-1.2907886505126953,0.1995976765950521
2014-01-16,0.03785789016319541,0.00014901161193847656,-1.5459184249242146,0.1991430918375651
2014-01-17,0.011432170765601768,4.470348358154297e-05,-2.2486515045166016,0.1981054941813151
2014-01-18,0.013917684555053711,7.450580596923828e-05,-2.701603571573893,0.19722366333007812
2014-01-19,0.0004351138045421976,0.0,-2.0158435503641763,0.19603729248046875
2014-01-20,0.005488634599259967,2.9802322387695312e-05,-2.237097899119059,0.19508870442708334
2014-01-21,0.001832553209624166,0.0,-2.453164219856262,0.19428443908691406
2014-01-22,0.22389292706748165,0.0009387731552124023,-2.182446559270223,0.19472440083821616
2014-01-23,0.36354290210738327,0.001519918441772461,-1.8668725887934368,0.19630813598632812
2014-01-24,0.0025713598006404936,1.4901161193847656e-05,-1.4547866980234783,0.1961231231689453
2014-01-25,0.08149459671358272,0.00032782554626464844,-1.6331723531087239,0.19558334350585938
2014-01-26,0.007033348140339513,2.9802322387695312e-05,-1.8955739339192708,0.19492975870768228
